owner_Id,user_Id,permission
,,
1123456700,1123456700,admin
1123456700,1123456701,alter
1123456700,1123456702,alter
1123456700,1123456703,alter
1123456700,1123456704,alter
1123456800,1123456800,admin
1123456800,1123456801,alter
1123456800,1123456802,alter
1123456800,1123456803,alter
1123456800,1123456804,alter
1123456900,1123456900,admin
1123456900,1123456901,alter
1123456900,1123456902,alter
1123456900,1123456903,alter
1123456900,1123456904,alter
1123457000,1123457000,admin
1123457000,1123457001,alter
1123457000,1123457002,alter
1123457000,1123457003,alter
1123457000,1123457004,alter
